id	section	before	after	(文言修正/)意味	見え消し	パブコメ	議事録	コメント
1	2-3-1-1	IPCC 第六次評価報告書統合報告書	IPCC 第６次評価報告書統合報告書	FALSE				
2	2-3-1-1	地球温暖化対策計画（2021 年10 月閣議決定）	地球温暖化対策計画	FALSE				
3	2-3-1-1	脱炭素成長型経済構造移行推進戦略（GX 推進戦略）（2023 年７月閣議決定）	GX 推進戦略	FALSE				
4	2-3-1-1	省エネ	省エネルギー	FALSE				
5	2-3-1-1	再エネ	再生可能エネルギー	FALSE				
6	2-3-1-1	GX 経済移行債	以下「GX経済移行債」という。	FALSE				
7	2-3-1-2	IPCC 第六次評価報告書統合報告書	IPCC 第６次評価報告書統合報告書	FALSE				
8	2-3-1-2	適応計画	気候変動適応計画（以下「適応計画」という。）	FALSE				
9	2-3-1-2	防災	健康、防災・減災	TRUE	TRUE	279		
10	2-3-2	循環型社会形成推進基本法（平成 12 年法律第 110 号）	循環型社会形成推進基本法	FALSE				
11	2-3-2-2	動静脈連携	資源循環のための事業者間連携	TRUE	TRUE			
12	2-3-2-2		そして、循環型社会の実現に向け て、産官学連携を推進して、経済安全保障の確保や脱炭素の実現にも貢献する動脈産業の資源循環の促進に係る取組を進めるとともに、静脈産業の脱炭素型資源循環システムを構築する。	TRUE	TRUE			見え消しでは消されている部分があることになっている
13	2-3-2-4		また、動静脈連携を促進するための資源循環情報の把握や、各種デジタル技術を活用した情報基盤を整備する。	TRUE			min115-u21	
14	2-3-2-4	３Ｒ+Renewable を徹底し、これを徹底した後に	３Ｒ+Renewable、焼却時における熱回収の順にできる限り循環的な利用を行い、これらを徹底した後に	TRUE			min115-u53	
15	2-3-2-5	また、国際機関や民間企業等と連携し、バリューチェーンや組織レベルでの循環性等の国際的なルール形成をリードする。	また、循環経済の推進に当たっては、国ごとに制度や社会インフラの整備状況が異なるため、CEREP 等に基づく官民対話159等を通じた各国間での情報共有や相互理解を深めるとともに、国際機関や民間企業等と連携し、バリューチェーンや組織レベルでの循環性等の国際的なルール形成をリードする。	TRUE			min115-u53	
16	2-3-3	生物多様性国家戦略2023-2030	「生物多様性国家戦略2023-2030」（令和５年３月 31 日閣議決定）	FALSE				
17	2-3-3	のっとり	則り	FALSE				
18	2-3-3	各種施策を進めていくことで、		FALSE				
19	2-3-3	その際、	ネイチャーポジティブの実現に向けては、人類存続の基盤としての健全な生態系を確保し、自然の恵みを維持し回復させ、自然資本を守り活かす社会経済活動を広げるために、これまでの生物多様性保全施策に加えて気候変動や資源循環等の様々な分野の施策と連携し、以下の五つの基本戦略に沿って取り組んでいくとともに、	TRUE			min115-u15	議事録対応自信なし
20	2-3-3		また、昆明・モントリオール生物多様性枠組に基づくレビューメカニズムに関する国際的な議論の動向等を踏まえて、本戦略で設定した状態目標や行動目標の達成状況を評価していく。	TRUE				不明
21	2-3-3-3	また、ESG 金融等を通じて、生物多様性・自然資本に関わるリスク・機会を組み込んだ経済への移行を実現し、ビジネスがネイチャーポジティブ実現のドライバーとなるための施策について実施する。	また、ESG 金融等を通じて、生物多様性・自然資本に関わるリスク・機会を組み込んだ経済への移行を実現し、ビジネスがネイチャーポジティブ実現のドライバーとなるための施策について、ネイチャーポジティブ経済移行戦略を踏まえて実施する。	TRUE	TRUE			
22	2-3-4-1-1	「大気汚染防止法」、「水質汚濁防止法」、「土壌汚染対策法」等関連法令	大気汚染防止法、水質汚濁防止法、土壌汚染対策法等関連法令	FALSE	TRUE			
23	2-3-4-1-1	公害の発生を未然防止	公害の未然防止	FALSE	TRUE	288		
24	2-3-4-1-3	OECM も活用した良好な環境の創出に取り組む地域を支援・連結した流域一体的な保全のモデルの構築	OECM も活用した良好な環境の創出に取り組む地域を連結した流域一体的な保全のモデルの構築	TRUE				意味の TRUE が微妙な例（支援、を削除）
25	2-3-4-2		また、残留性有機汚染物質に関するストックホルム条約において規制対象物質に追加された PFOS 等の新たな課題もある。	TRUE			min115-u25	
26	2-3-4-2	人間の健康	人の健康	FALSE	TRUE	6		
27	2-3-4-2	人間の健康	人の健康	FALSE	TRUE	6		
28	2-3-4-2-2	さらなる	更なる	FALSE	TRUE	79		
29	2-3-4-3-6	気候変動適応法（平成 30 年法律第 50 号）	気候変動適応法	FALSE				
30	2-3-4-3-6	熱中症対策実行計画（令和５年５月閣議決定）	「熱中症対策実行計画」（令和５年５月 30 日閣議決定）	FALSE				
31	2-3-4-3-6	持続可能な社会の実現に向けて計画などを策定する段階から環境配慮の組み込みを図るとともに、	持続可能な社会の実現に向けて施策・計画などを策定する段階から環境配慮の組み込みを図るとともに、	TRUE	TRUE	299		意味の TRUE が微妙な例 （施策、を追加）
32	2-3-5-1-1	再エネ海域利用法に基づく促進区域指定	再エネ海域利用法に基づく海洋再生可能エネルギー発電設備整備促進区域の指定	TRUE	TRUE			
33	2-3-5-2-1	科学技術・イノベーション基本計画（令和３年３月閣議決定）	「科学技術・イノベーション基本計画」（令和３年３月 26 日閣議決定）	FALSE				
34	2-3-5-2-1	今後５年間	今後５年程度の間	TRUE				意味の TRUE が微妙な例 （期間に幅をもたせている）
35	2-3-5-2-1	戦路的	戦略的	FALSE	TRUE			
36	2-3-5-3-2	さらに、生物多様性の損失を止め社会変革を実現するためには、生物多様性の重要性等に対する人々の知識と関心を高め、行動の変化につなげることが不可欠であることから、学校等における生物多様性を含めた環境教育の推進と、それを支える人材の育成を推進する。	さらに、生物多様性の損失を止め社会変革を実現するためには、生物多様性の重要性等に対する人々の知識と関心を高め、行動の変化につなげることが不可欠であることから、地域や家庭、学校等における生物多様性を含めた環境教育の推進と、それを支える人材の育成を推進する。	TRUE	TRUE	193		別の箇所の「地域や家庭」に対して「学校」を加えるというパブコメが、環境教育の場として「地域や家庭、学校」という語句の統一として波及している
37	2-3-5-3-3	世代間の公正も踏まえ、	世代間の衡平も踏まえ、	FALSE				
38	2-3-5-4-1	第１部第２章「３（3）「参加」の促進 ：政府、市場、国民の共進化と人材育成、情報基盤整備」において	第１部第２章３（３）において	FALSE	TRUE			
39	2-3-5-4-1	再エネポテンシャル	再生可能エネルギー導入ポテンシャル	FALSE	TRUE			
40	2-3-5-4-1	「統計改革推進会議最終取りまとめ」（2017 年５月統計改革推進会議決定）	「統計改革推進会議最終取りまとめ」（平成 29 年５月 19 日統計改革推進会議決定）	FALSE				
41	2-3-5-4-1	「公的統計の整備に関する基本的な計画」（2023 年３月 28日閣議決定）	「公的統計の整備に関する基本的な計画」（令和５年３月 28 日閣議決定）	FALSE				
42	2-3-5-4-2	「オープンデータ基本指針」（2017 年５月高度情報通信ネットワーク社会推進戦略本部・官民データ活用推進戦略会議決定 2021 年６月 15 日改正）	「オープンデータ基本指針」（平成 29 年５月 30 日高度情報通信ネットワーク社会推進戦略本部・官民データ活用推進戦略会議決定 令和３年６月 15 日改正）	FALSE				
43	2-3-5-4-2	新しい国民運動「デコ活」	「デコ活」	TRUE				意味の TRUE が微妙な例
44	2-3-6	大規模災害発生時の対応	大規模災害への備えと発生時の対応	TRUE				意味の TRUE が微妙な例
45	2-3-6-1-3	再生利用先の創出等については、関係省庁等の連携強化を図り、政府一体となって、地元の理解を得ながら具体化を推進する。	再生利用先の創出等については、関係省庁等の連携強化等により、政府一体となった体制整備に向けた取組を進め、地元の理解を得ながら具体化を推進する。	TRUE	TRUE			
46	2-3-6-1-5	「東京電力ホールディングス株式会社福島第一原子力発電所における多核種除去設備等処理水の処分に関する基本方針」（令和３年４月 13 日閣議決定）	「東京電力ホールディングス株式会社福島第一原子力発電所における多核種除去設備等処理水の処分に関する基本方針」（令和３年４月 13 日廃炉・汚染水・処理水対策関係閣僚等会議決定）	FALSE	TRUE			
47	2-3-6-2-1	平時から災害時における生活ごみやし尿に加え、災害廃棄物の処理を適正かつ迅速に実施するため、国、地方公共団体、研究・専門機関、民間事業者等の人的支援や広域処理の連携を促進する等、地方公共団体レベル、地域ブロックレベル、全国レベルで重層的に廃棄物処理システムの強靱化を進め、災害廃棄物を適正かつ迅速に処理できる社会を目指す。	具体的な取組については本章２（４）を参照。	TRUE				不明
48	2-3-6-2-2	さらに、人とペットの災害対策に係るガイドラインに基づき、地方公共団体等と連携し、避難所におけるペットの受入れや被災ペットの緊急的な一時預かり体制の整備等について支援を行う。	さらに、人とペットの災害対策に係るガイドラインに基づき、地方公共団体や飼い主等に対して、平時の備えを呼びかけるとともに、災害時には地方公共団体等と連携し、避難所におけるペットの受入れや被災ペットの緊急的な一時預かり体制の整備等について支援を行う。	TRUE				不明
